1871,barnero01,66.0
1872,eggleda01,94.0
1873,barnero01,125.0
1874,mcveyca01,91.0
1875,barnero01,115.0
1876,barnero01,126.0
1877,orourji01,68.0
1878,highadi01,60.0
1879,jonesch01,85.0
1880,dalryab01,91.0
1881,gorege01,86.0
1882,gorege01,99.0
1883,stoveha01,110.0
1884,dunlafr01,160.0
1885,stoveha01,130.0
1886,kellyki01,155.0
1887,oneilti01,167.0
1888,pinknge01,134.0
1889,griffmi01,152.0
1889,stoveha01,152.0
1890,duffyhu01,161.0
1891,brownto01,177.0
1892,childcu01,136.0
1893,longhe01,149.0
1894,hamilbi01,192.0
1895,hamilbi01,166.0
1896,burkeje01,160.0
1897,hamilbi01,152.0
1898,mcgrajo01,143.0
1899,keelewi01,140.0
1899,mcgrajo01,140.0
1900,thomaro01,132.0
1901,lajoina01,145.0
1902,hartsto01,109.0
1902,fultzda01,109.0
1903,beaumgi01,137.0
1904,brownge01,99.0
1905,donlimi01,124.0
1906,wagneho01,103.0
1906,chancfr01,103.0
1907,shannsp01,104.0
1908,mcintma01,105.0
1909,leachto01,126.0
1910,mageesh01,110.0
1911,cobbty01,147.0
1912,collied01,137.0
1913,collied01,125.0
1914,collied01,122.0
1915,cobbty01,144.0
1916,cobbty01,113.0
1917,bushdo01,112.0
1918,grohhe01,86.0
1919,ruthba01,103.0
1920,ruthba01,158.0
1921,ruthba01,177.0
1922,hornsro01,141.0
1923,ruthba01,151.0
1924,ruthba01,143.0
1925,cuyleki01,144.0
1926,ruthba01,139.0
1927,ruthba01,158.0
1928,ruthba01,163.0
1929,hornsro01,156.0
1930,kleinch01,158.0
1931,gehrilo01,163.0
1932,kleinch01,152.0
1933,gehrilo01,138.0
1934,gehrich01,134.0
1935,galanau01,133.0
1936,gehrilo01,167.0
1937,dimagjo01,151.0
1938,greenha01,144.0
1939,rolfere01,139.0
1940,willite01,134.0
1941,willite01,135.0
1942,willite01,141.0
1943,vaughar01,112.0
1944,stirnsn01,125.0
1945,stanked01,128.0
1946,willite01,142.0
1947,mizejo01,137.0
1948,henrito01,138.0
1949,willite01,150.0
1950,dimagdo01,131.0
1951,kinerra01,124.0
1951,musiast01,124.0
1952,hemusso01,105.0
1952,musiast01,105.0
1953,snidedu01,132.0
1954,mantlmi01,129.0
1955,snidedu01,126.0
1956,mantlmi01,132.0
1957,mantlmi01,121.0
1958,mantlmi01,127.0
1959,pinsova01,131.0
1960,mantlmi01,119.0
1961,marisro01,132.0
1961,mantlmi01,132.0
1962,robinfr02,134.0
1963,aaronha01,121.0
1964,allendi01,125.0
1965,harpeto01,126.0
1965,versazo01,126.0
1966,robinfr02,122.0
1966,aloufe01,122.0
1967,aaronha01,113.0
1967,brocklo01,113.0
1968,beckegl01,98.0
1969,jacksre01,123.0
1970,willibi01,137.0
1971,brocklo01,126.0
1972,morgajo02,122.0
1973,bondsbo01,131.0
1974,rosepe01,110.0
1975,rosepe01,112.0
1976,rosepe01,130.0
1977,carewro01,128.0
1978,lefloro01,126.0
1979,baylodo01,120.0
1980,wilsowi02,133.0
1981,henderi01,89.0
1982,molitpa01,136.0
1983,raineti01,133.0
1984,evansdw01,121.0
1985,henderi01,146.0
1986,henderi01,130.0
1987,raineti01,123.0
1988,boggswa01,128.0
1989,boggswa01,113.0
1990,henderi01,119.0
1991,molitpa01,133.0
1992,phillto02,114.0
1993,dykstle01,143.0
1994,thomafr04,106.0
1995,biggicr01,123.0
1996,burksel01,142.0
1997,biggicr01,146.0
1998,sosasa01,134.0
1999,bagweje01,143.0
2000,bagweje01,152.0
2001,sosasa01,146.0
2002,soriaal01,128.0
2003,pujolal01,137.0
2004,pujolal01,133.0
2005,pujolal01,129.0
2006,sizemgr01,134.0
2007,rodrial01,143.0
2008,ramirha01,125.0
2009,pujolal01,124.0
2010,pujolal01,115.0
2011,grandcu01,136.0
